x,y,z,freq,value
23.302,11.001,0.2,2999921270.0,-78.4775772095
24.297,12.048,0.2,3000082780.0,-77.4029083252
25.673,13.554,0.2,3000008390.0,-77.7499694824
26.575,15.06,0.2,3000060780.0,-78.0593948364
27.016,16.566,0.2,2999919540.0,-78.6513214111
27.111,18.072,0.2,2999999710.0,-76.2140960693
26.903,19.578,0.2,2999969610.0,-76.9727325439
26.344,21.084,0.2,3000057890.0,-78.5247879028
25.327,22.59,0.2,3000063970.0,-80.2070846558
23.896,24.096,0.2,2999907380.0,-81.3627700806
22.52,25.602,0.2,2999930540.0,-75.2306442261
21.618,27.108,0.2,3000021710.0,-77.4892272949
21.177,28.614,0.2,2999995950.0,-78.0994873047
21.082,30.12,0.2,3000064830.0,-81.3919677734
21.29,31.626,0.2,2999953690.0,-84.2047576904
21.849,33.132,0.2,2999966140.0,-78.2071838379
22.866,34.638,0.2,3000046310.0,-82.8298721313
24.297,36.144,0.2,3000067440.0,-77.5023803711
25.673,37.65,0.2,3000073520.0,-76.8876495361
26.575,39.156,0.2,3000062230.0,-80.3050842285
27.016,40.662,0.2,3000092910.0,-79.183631897
27.111,42.168,0.2,3000051520.0,-78.6168823242
27.111,42.168,0.2,2999914330.0,-77.0907287598
26.903,43.674,0.2,3000001450.0,-77.9372940063
26.344,45.18,0.2,2999964400.0,-75.253578186
25.327,46.686,0.2,3000046310.0,-77.1927490234
23.896,48.192,0.2,3000039650.0,-79.3026046753
22.52,49.698,0.2,2999920120.0,-79.5037231445
21.618,51.204,0.2,2999931690.0,-78.1932449341
21.177,52.71,0.2,3000075830.0,-77.649520874
21.082,54.216,0.2,3000014760.0,-79.0830383301
21.29,55.722,0.2,2999947610.0,-77.6440811157
21.849,57.228,0.2,3000090590.0,-79.3795928955
22.866,58.734,0.2,2999928510.0,-77.7327194214
24.297,60.24,0.2,2999936320.0,-79.5895309448
25.673,61.746,0.2,3000023440.0,-79.4141159058
26.575,63.252,0.2,3000079590.0,-77.4413452148
27.016,64.758,0.2,3000023150.0,-78.2233200073
27.111,66.264,0.2,3000046020.0,-80.6808166504
26.903,67.77,0.2,3000090300.0,-77.4638061523
26.344,69.276,0.2,3000079310.0,-76.3597183228
25.327,70.782,0.2,2999957450.0,-77.2594299316
23.896,72.288,0.2,2999901590.0,-78.2594833374
22.52,73.794,0.2,2999946740.0,-79.7900543213
21.618,75.3,0.2,3000097830.0,-79.9365844727
21.177,76.806,0.2,3000091750.0,-78.813117981
21.082,78.312,0.2,2999946740.0,-80.6809463501
21.29,79.818,0.2,2999999130.0,-80.2176361084
21.849,81.324,0.2,3000002890.0,-79.5879364014
22.866,82.83,0.2,2999941240.0,-77.9338226318
24.297,84.336,0.2,3000049490.0,-79.5706558228
25.673,85.842,0.2,2999912010.0,-76.5933456421
26.575,87.348,0.2,2999970480.0,-77.0713729858
27.016,88.854,0.2,3000016790.0,-75.8424758911
27.111,90.36,0.2,2999985530.0,-81.0749053955
26.903,91.866,0.2,3000089730.0,-79.1192245483
26.344,93.372,0.2,3000052970.0,-80.1282806396
25.327,94.878,0.2,3000098120.0,-80.0631561279
23.896,96.384,0.2,3000047470.0,-78.6930465698
22.52,97.89,0.2,2999927350.0,-75.3960266113
21.618,99.396,0.2,3000064540.0,-78.1611099243
21.177,100.902,0.2,3000070330.0,-77.8724517822
21.082,102.408,0.2,3000090300.0,-76.9877624512
21.29,103.914,0.2,2999909990.0,-77.4653778076
21.849,105.42,0.2,2999994500.0,-78.7499694824
21.849,105.42,0.2,2999905930.0,-79.4347610474
22.866,106.926,0.2,3000075540.0,-77.3488769531
24.297,108.432,0.2,3000099570.0,-77.8804244995
25.673,109.938,0.2,2999964690.0,-76.8668212891
26.575,111.444,0.2,3000084520.0,-80.1615982056
27.016,112.95,0.2,2999962080.0,-78.91456604
27.111,114.456,0.2,3000044280.0,-77.5469512939
26.903,115.962,0.2,3000079020.0,-78.9974517822
26.344,117.468,0.2,3000085960.0,-78.8591003418
25.327,118.974,0.2,3000034150.0,-77.5536956787
23.896,120.48,0.2,3000095220.0,-78.513923645
22.52,121.986,0.2,3000088570.0,-75.6514129639
21.618,123.492,0.2,3000065120.0,-79.1727523804
21.177,124.998,0.2,3000035890.0,-76.7336502075
21.082,126.504,0.2,3000030970.0,-76.2743988037
21.29,128.01,0.2,3000098120.0,-77.5657119751
21.849,129.516,0.2,3000071200.0,-81.2625045776
22.866,131.022,0.2,3000043990.0,-78.801612854
24.297,132.528,0.2,2999929380.0,-76.8675613403
25.673,134.034,0.2,2999962080.0,-77.4627227783
26.575,135.54,0.2,3000001160.0,-79.4251022339
27.016,137.046,0.2,3000084800.0,-80.7462768555
27.111,138.552,0.2,3000000290.0,-79.9139556885
26.903,140.058,0.2,3000024310.0,-78.7518157959
26.344,141.564,0.2,3000046020.0,-82.895614624
25.327,143.07,0.2,3000007810.0,-76.4969863892
23.896,144.576,0.2,3000045150.0,-78.931098938
22.52,146.082,0.2,3000042840.0,-76.1707229614
21.618,147.588,0.2,2999948480.0,-78.7477722168
21.177,149.094,0.2,3000031260.0,-79.2151107788
21.082,150.6,0.2,3000082200.0,-80.5800094604
21.29,152.106,0.2,2999982630.0,-77.4262695313
21.849,153.612,0.2,2999991610.0,-77.7053604126
22.866,155.118,0.2,2999971920.0,-78.6988601685
24.297,156.624,0.2,2999940090.0,-76.6161499023
25.673,158.13,0.2,2999998840.0,-79.4389343262
26.575,159.636,0.2,2999938350.0,-79.7545394897
27.016,161.142,0.2,2999950800.0,-78.8254470825
27.111,162.648,0.2,2999953690.0,-78.540145874
26.903,164.154,0.2,2999959480.0,-78.1879730225
26.344,165.66,0.2,2999924170.0,-77.5780410767
25.327,167.166,0.2,2999985240.0,-78.7395629883
23.896,168.672,0.2,3000089730.0,-76.3719787598
23.896,168.672,0.2,2999945010.0,-78.0182723999
22.52,170.178,0.2,3000082200.0,-77.7388305664
21.618,171.684,0.2,3000078730.0,-76.5791625977
21.177,173.19,0.2,3000001160.0,-75.8168106079
21.082,174.696,0.2,2999952530.0,-76.3704452515
21.29,176.202,0.2,2999917510.0,-76.5916442871
21.849,177.708,0.2,3000034730.0,-77.8990249634
22.866,179.214,0.2,2999995950.0,-79.4574203491
24.297,180.72,0.2,2999929380.0,-77.0827484131
25.673,182.226,0.2,3000065990.0,-76.1477813721
26.575,183.732,0.2,3000029230.0,-77.496383667
27.016,185.238,0.2,2999901010.0,-75.3043060303
27.111,186.744,0.2,3000081620.0,-79.4947052002
26.903,188.25,0.2,2999907670.0,-76.1695861816
26.344,189.756,0.2,3000001450.0,-78.1738052368
25.327,191.262,0.2,3000031260.0,-75.7084960938
23.896,192.768,0.2,3000062810.0,-81.0558013916
22.52,194.274,0.2,2999923590.0,-76.1332092285
21.618,195.78,0.2,2999923590.0,-77.1544036865
21.177,197.286,0.2,2999972500.0,-79.5399627686
21.082,198.792,0.2,2999922720.0,-78.5192489624
21.29,200.298,0.2,2999978290.0,-77.0970916748
21.849,201.804,0.2,3000078730.0,-77.6228179932
22.866,203.31,0.2,2999961790.0,-78.5271987915
24.297,204.816,0.2,3000053260.0,-78.3470993042
25.673,206.322,0.2,2999944720.0,-75.5967712402
26.575,207.828,0.2,3000073810.0,-78.1549758911
26.918,208.999,0.2,3000003470.0,-77.021484375
26.918,208.249,0.2,2999980610.0,-80.7245101929
38.827,208.249,0.2,3000095220.0,-81.0107574463
38.827,208.999,0.2,2999928800.0,-78.0380554199
38.392,207.828,0.2,2999972790.0,-78.3465805054
37.375,206.322,0.2,3000094360.0,-81.6862258911
35.944,204.816,0.2,2999975400.0,-80.3557281494
34.568,203.31,0.2,3000037630.0,-78.6068649292
33.666,201.804,0.2,3000041390.0,-80.5868530273
33.225,200.298,0.2,3000069750.0,-77.7920837402
33.13,198.792,0.2,2999911430.0,-80.2207336426
33.338,197.286,0.2,2999932270.0,-78.3613510132
33.897,195.78,0.2,2999941820.0,-77.1542663574
34.914,194.274,0.2,3000008390.0,-79.5498962402
36.345,192.768,0.2,2999903620.0,-76.7488479614
37.721,191.262,0.2,3000054990.0,-78.6864700317
38.623,189.756,0.2,3000067150.0,-78.9335021973
38.623,189.756,0.2,2999945880.0,-77.4454040527
39.064,188.25,0.2,2999971060.0,-78.0559844971
39.159,186.744,0.2,2999997680.0,-81.5609130859
38.951,185.238,0.2,3000037340.0,-75.9402542114
38.392,183.732,0.2,2999967580.0,-78.1131973267
37.375,182.226,0.2,3000029810.0,-77.6185684204
35.944,180.72,0.2,2999923590.0,-78.8426818848
34.568,179.214,0.2,3000081330.0,-77.7526321411
33.666,177.708,0.2,2999949060.0,-79.6920547485
33.225,176.202,0.2,2999914330.0,-77.7515945435
33.13,174.696,0.2,3000055860.0,-75.7129135132
33.338,173.19,0.2,3000059910.0,-81.3912506104
33.897,171.684,0.2,2999998260.0,-74.7317581177
34.914,170.178,0.2,3000071490.0,-77.2185211182
36.345,168.672,0.2,3000070040.0,-82.4411087036
37.721,167.166,0.2,2999931980.0,-77.5705947876
38.623,165.66,0.2,3000087410.0,-76.7753753662
39.064,164.154,0.2,3000017370.0,-78.2150115967
39.159,162.648,0.2,2999946450.0,-77.5859146118
38.951,161.142,0.2,2999993920.0,-76.0495071411
38.392,159.636,0.2,2999925900.0,-79.0578613281
37.375,158.13,0.2,2999968740.0,-78.9012985229
35.944,156.624,0.2,3000092620.0,-80.4717483521
34.568,155.118,0.2,2999973370.0,-78.7408905029
33.666,153.612,0.2,3000074100.0,-79.77293396
33.225,152.106,0.2,2999904200.0,-77.9015350342
33.13,150.6,0.2,2999952530.0,-78.6872024536
33.338,149.094,0.2,3000061360.0,-78.295539856
33.897,147.588,0.2,2999954850.0,-77.1428985596
34.914,146.082,0.2,2999964110.0,-78.8791351318
36.345,144.576,0.2,2999986110.0,-78.368309021
37.721,143.07,0.2,3000072650.0,-80.3195419312
38.623,141.564,0.2,2999901590.0,-78.3820724487
39.064,140.058,0.2,2999951370.0,-80.0732421875
39.159,138.552,0.2,3000059910.0,-77.9777145386
38.951,137.046,0.2,3000056730.0,-77.0718536377
38.392,135.54,0.2,3000075540.0,-76.9466934204
37.375,134.034,0.2,3000046310.0,-78.2561340332
35.944,132.528,0.2,3000016500.0,-77.5559310913
34.568,131.022,0.2,2999962660.0,-80.2073669434
33.666,129.516,0.2,2999963530.0,-76.8101959229
33.225,128.01,0.2,3000099860.0,-79.4086532593
33.13,126.504,0.2,2999979450.0,-77.9765930176
33.13,126.504,0.2,2999928800.0,-80.116104126
33.338,124.998,0.2,3000066860.0,-79.5300140381
33.897,123.492,0.2,3000087990.0,-77.7668151855
34.914,121.986,0.2,2999969610.0,-79.5905151367
36.345,120.48,0.2,3000029520.0,-79.0689086914
37.721,118.974,0.2,3000079310.0,-77.4218521118
38.623,117.468,0.2,2999951660.0,-77.8583679199
39.064,115.962,0.2,2999938350.0,-78.5049591064
39.159,114.456,0.2,3000034150.0,-77.788192749
38.951,112.95,0.2,2999941820.0,-80.9487228394
38.392,111.444,0.2,3000020550.0,-76.7926101685
37.375,109.938,0.2,3000044860.0,-78.1759567261
35.944,108.432,0.2,3000079310.0,-76.6602706909
34.568,106.926,0.2,2999974530.0,-77.8333740234
33.666,105.42,0.2,3000028650.0,-78.0571365356
33.225,103.914,0.2,3000010710.0,-76.5148162842
33.13,102.408,0.2,2999922140.0,-77.759262085
33.338,100.902,0.2,3000087700.0,-77.1363220215
33.897,99.396,0.2,2999932270.0,-77.384979248
34.914,97.89,0.2,3000082490.0,-79.6431121826
36.345,96.384,0.2,2999940670.0,-79.8533325195
37.721,94.878,0.2,2999934590.0,-77.8946990967
38.623,93.372,0.2,3000004340.0,-79.0023269653
39.064,91.866,0.2,3000099280.0,-78.58152771
39.159,90.36,0.2,2999917220.0,-77.5874862671
38.951,88.854,0.2,2999934590.0,-79.353729248
38.392,87.348,0.2,3000034730.0,-77.306678772
37.375,85.842,0.2,3000017660.0,-78.2535705566
35.944,84.336,0.2,2999959190.0,-79.8073501587
34.568,82.83,0.2,2999939800.0,-78.3777389526
33.666,81.324,0.2,3000059910.0,-76.3704528809
33.225,79.818,0.2,2999906510.0,-75.3531265259
33.13,78.312,0.2,3000048340.0,-77.3408050537
33.338,76.806,0.2,2999909410.0,-74.9723358154
33.897,75.3,0.2,2999929090.0,-79.4407424927
34.914,73.794,0.2,3000061360.0,-80.3657455444
36.345,72.288,0.2,3000009840.0,-76.8060913086
37.721,70.782,0.2,2999945010.0,-78.3546447754
38.623,69.276,0.2,3000036760.0,-82.9396362305
39.064,67.77,0.2,3000099860.0,-77.038192749
39.159,66.264,0.2,3000058470.0,-80.1779556274
38.951,64.758,0.2,2999922140.0,-77.2524032593
38.392,63.252,0.2,2999970770.0,-80.2471847534
38.392,63.252,0.2,3000072070.0,-78.4427871704
37.375,61.746,0.2,3000023440.0,-75.8966140747
35.944,60.24,0.2,2999903040.0,-78.3967895508
34.568,58.734,0.2,2999931690.0,-75.8079071045
33.666,57.228,0.2,3000021710.0,-78.2828140259
33.225,55.722,0.2,2999956580.0,-76.2573547363
33.13,54.216,0.2,2999959480.0,-78.1931838989
33.338,52.71,0.2,2999942690.0,-78.6636657715
33.897,51.204,0.2,2999919250.0,-79.2913589478
34.914,49.698,0.2,3000058760.0,-77.2875595093
