x,y,z,freq,value
79.94,71.92,0.2,3000000000.0,-37.7954788208
79.931,71.939,0.2,3000000000.0,-36.9171714783
79.672,72.24,0.2,3000000000.0,-38.5532150269
79.353,72.541,0.2,3000000000.0,-37.218132019
79.097,72.842,0.2,3000000000.0,-37.2489128113
78.936,73.143,0.2,3000000000.0,-38.1884918213
78.849,73.444,0.2,3000000000.0,-35.6390533447
78.823,73.745,0.2,3000000000.0,-32.6189575195
78.863,74.046,0.2,3000000000.0,-30.6195659637
78.998,74.347,0.2,3000000000.0,-29.6324062347
79.257,74.648,0.2,3000000000.0,-28.7964096069
79.576,74.949,0.2,3000000000.0,-29.1414890289
79.832,75.25,0.2,3000000000.0,-30.33086586
79.993,75.551,0.2,3000000000.0,-37.1102828979
80.08,75.852,0.2,3000000000.0,-42.4208641052
80.106,76.153,0.2,3000000000.0,-40.8029251099
80.066,76.454,0.2,3000000000.0,-39.8531570435
79.931,76.755,0.2,3000000000.0,-40.2064056396
79.672,77.056,0.2,3000000000.0,-39.4569511414
79.353,77.357,0.2,3000000000.0,-40.1200370789
79.097,77.658,0.2,3000000000.0,-38.2471313477
78.936,77.959,0.2,3000000000.0,-38.6267623901
78.849,78.26,0.2,3000000000.0,-38.8265419006
78.823,78.561,0.2,3000000000.0,-38.4729957581
78.863,78.862,0.2,3000000000.0,-36.5873031616
78.998,79.163,0.2,3000000000.0,-36.3925437927
79.257,79.464,0.2,3000000000.0,-35.3715591431
79.576,79.765,0.2,3000000000.0,-34.8643341064
79.832,80.066,0.2,3000000000.0,-36.2139587402
79.993,80.367,0.2,3000000000.0,-35.2353935242
80.08,80.668,0.2,3000000000.0,-35.5939102173
80.106,80.969,0.2,3000000000.0,-36.7836265564
80.066,81.27,0.2,3000000000.0,-35.0852203369
79.931,81.571,0.2,3000000000.0,-35.8231468201
79.672,81.872,0.2,3000000000.0,-35.1572952271
79.353,82.173,0.2,3000000000.0,-36.0875968933
79.097,82.474,0.2,3000000000.0,-35.8065338135
78.936,82.775,0.2,3000000000.0,-35.8035850525
